tags,count_local,count,TRT,TST
e-commerce,4380,4380,100.00%,100.00%
virtocommerce,19,126,15.08%,0.43%
shopping-cart,190,1882,10.10%,4.34%
enhanced-ecommerce,15,156,9.62%,0.34%
satchmo,10,129,7.75%,0.23%
commerce,11,165,6.67%,0.25%
django-oscar,21,337,6.23%,0.48%
oscommerce,22,354,6.21%,0.50%
broadleaf-commerce,18,304,5.92%,0.41%
spree,92,1672,5.50%,2.10%
zen-cart,16,291,5.50%,0.37%
google-checkout,20,374,5.35%,0.46%
payment-processing,29,544,5.33%,0.66%
ubercart,19,368,5.16%,0.43%
activemerchant,14,308,4.55%,0.32%
authorize.net,50,1102,4.54%,1.14%
credit-card,46,1058,4.35%,1.05%
payment-gateway,129,3308,3.90%,2.95%
marketplace,10,283,3.53%,0.23%
pci-compliance,10,288,3.47%,0.23%
hybris,42,1319,3.18%,0.96%
magento-1.5,19,615,3.09%,0.43%
opencart,154,5001,3.08%,3.52%
catalog,12,394,3.05%,0.27%
bigcommerce,40,1352,2.96%,0.91%
cart,70,2443,2.87%,1.60%
recurring-billing,12,420,2.86%,0.27%
shipping,28,1054,2.66%,0.64%
prestashop-1.5,10,395,2.53%,0.23%
virtuemart,18,722,2.49%,0.41%
shopify,117,4842,2.42%,2.67%
prestashop,118,4922,2.40%,2.69%
nopcommerce,27,1135,2.38%,0.62%
payment,60,2600,2.31%,1.37%
magento-1.7,79,3438,2.30%,1.80%
magento-1.6,11,488,2.25%,0.25%
sylius,13,594,2.19%,0.30%
opencart2.x,24,1121,2.14%,0.55%
magento-1.4,15,708,2.12%,0.34%
checkout,39,1876,2.08%,0.89%
prestashop-1.7,18,931,1.93%,0.41%
magento,694,37629,1.84%,15.84%
prestashop-1.6,32,1835,1.74%,0.73%
magento-1.8,14,975,1.44%,0.32%
paypal,237,18571,1.28%,5.41%
magento-1.9,35,3041,1.15%,0.80%
woocommerce,212,21698,0.98%,4.84%
