Topic,Website design features,Database management,Website Errors,Sales Features,Payment options
Django,39.22018349,3.899082569,17.66055046,33.48623853,5.733944954
"PhP, MySQL",29.71628818,7.331517414,13.33782212,47.1827753,2.431596988
"PhP, Symphony, MySQL",41.32688321,7.239115411,15.61852108,34.05321355,1.762266759
"ASP.NET, MS SQL",43.47826087,8.423913043,20.38043478,24.00362319,3.713768116
"Rails, GraphQL",37.38834538,8.145470013,13.48362399,36.96299447,4.019566142
"Java, SAP hybris",37.96583851,8.540372671,23.29192547,26.00931677,4.192546584
"Spring, Hibernate",40,5.084745763,25.76271186,22.03389831,7.118644068
Node.js,34.762634,8.422664625,16.92189893,37.13629403,2.756508423
"PhP, Symphony",56.2283737,2.422145329,17.47404844,19.03114187,4.844290657
"ASP.NET, GraphQL",29.56521739,5.217391304,31.30434783,32.17391304,1.739130435
