Topic,Basic website functionalitites,Customer login,Database management ,Installation error,Inventory management ,Link discrepency,Module error,Multiple channel integration,New feature integration,Payment gateway integration,Payment method,Purchase method,shipping method,Shopping cart,Stock item configuration,Template customization,Web service error
Django,23.39449541,3.440366972,3.899082569,4.816513761,5.04587156,1.605504587,8.486238532,5.504587156,3.669724771,5.275229358,0.458715596,3.440366972,2.752293578,1.146788991,15.59633028,8.71559633,2.752293578
"PhP, MySQL",9.34994185,3.839444206,7.331517414,4.00165269,9.040827569,3.730795128,3.848625819,2.272449042,8.470037339,1.609842688,0.8217543,4.87084532,3.580828794,4.197527086,23.22029748,8.056864785,1.756748485
"PhP, Symphony, MySQL",15.3593642,4.612992398,7.239115411,4.215618521,5.545957153,4.250172771,5.217691776,2.194194886,8.811333794,1.416724257,0.345542502,3.662750518,1.952315135,2.539737388,18.15825847,12.54319281,1.93503801
"ASP.NET, MS SQL",27.26449275,3.442028986,8.423913043,9.692028986,2.536231884,2.898550725,4.800724638,4.800724638,3.985507246,2.445652174,1.268115942,2.173913043,1.539855072,1.630434783,11.32246377,8.786231884,2.989130435
"Rails, GraphQL",19.50233943,2.615908124,8.145470013,3.126329222,5.508294343,2.871118673,2.594640578,3.67928541,5.57209698,2.722245853,1.297320289,2.169289664,1.743938749,3.317737133,20.54444917,9.698000851,4.891535517
"Java, SAP hybris",22.20496894,3.183229814,8.540372671,10.17080745,3.959627329,2.872670807,6.677018634,5.124223602,3.649068323,3.726708075,0.465838509,1.708074534,0.543478261,1.242236025,13.43167702,8.928571429,3.571428571
"Spring, Hibernate",24.74576271,2.033898305,5.084745763,16.27118644,2.033898305,1.016949153,4.406779661,6.779661017,6.779661017,6.101694915,1.016949153,1.355932203,2.033898305,1.355932203,8.474576271,6.440677966,4.06779661
Node.js,12.32771822,3.215926493,8.422664625,3.522205207,4.594180704,2.679938744,3.36906585,4.594180704,6.814701378,1.837672282,0.918836141,2.909647779,2.297090352,2.297090352,20.44410413,12.4042879,7.350689127
"PhP, Symphony",39.2733564,4.844290657,2.422145329,6.747404844,2.76816609,1.038062284,5.882352941,2.249134948,4.325259516,3.979238754,0.865051903,1.384083045,2.595155709,2.076124567,7.958477509,7.785467128,3.806228374
"ASP.NET, GraphQL",10.43478261,1.739130435,5.217391304,22.60869565,0.869565217,0.869565217,5.217391304,11.30434783,6.956521739,1.739130435,0,6.956521739,2.608695652,3.47826087,6.956521739,10.43478261,2.608695652
